"Freq [GHz]","re(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'","im(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'"
11.18,40.1029136908626,-20.2156645514872
11.19,38.6866995185091,-21.4085220875886
11.2,37.2424386933111,-22.4479214222688
11.21,35.788288136041,-23.3408011250574
11.22,34.3398413336903,-24.0959496547897
11.23,32.910121284635,-24.7233771198089
11.24,31.5096913692378,-25.2337738169529
11.25,30.1468465773311,-25.6380655618365
11.26,28.8278524768756,-25.9470654208179
11.27,27.5572057003525,-26.1712145148936
11.28,26.3378963208893,-26.3204006157234
11.29,25.171658509731,-26.4038416166803
11.3,24.0592009128333,-26.4300209415914
11.31,23.0004121347143,-26.4066629435951
11.32,21.9945396233342,-26.3407378716602
11.33,21.040342253157,-26.2384877045654
11.34,20.136218181326,-26.1054658516819
11.35,19.2803102791288,-25.9465852694367
11.36,18.4705917721874,-25.7661708807878
11.37,17.7049347846528,-25.5680132951775
11.38,16.9811643728633,-25.3554217174661
11.39,16.297100424485,-25.1312746295894
11.4,15.6505895407066,-24.8980673572285
11.41,15.0395287455671,-24.6579560254423
11.42,14.4618825994486,-24.4127976896722
11.43,13.9156950457022,-24.1641866259668
11.44,13.3990970966952,-23.9134868969446
11.45,12.9103112705635,-23.6618613943461
11.46,12.4476535224102,-23.4102976080862
11.47,12.0095332718499,-23.1596303955396
11.48,11.5944520101579,-22.9105620311307
11.49,11.201000872054,-22.6636798108505
11.5,10.82785747647,-22.419471473356
11.51,10.4737822749227,-22.1783386818642
11.52,10.1376145928703,-21.9406087912975
11.53,9.81826850660166,-21.7065451045815
11.54,9.51472866393071,-21.476355801628
11.55,9.22604612970662,-21.25020170502
11.56,8.9513343155787,-21.0282030281194
11.57,8.68976503650905,-20.8104452344724
11.58,8.44056472328172,-20.5969841220525
11.59,8.20301081000258,-20.3878502320735
11.6,7.97642830769727,-20.1830526697539
11.61,7.76018656912841,-19.9825824134484
11.62,7.55369624545589,-19.7864151788576
11.63,7.35640643204756,-19.5945138964873
11.64,7.16780199836019,-19.4068308530271
11.65,6.98740109513397,-19.2233095407511
11.66,6.81475283103703,-19.0438862533059
11.67,6.64943511020735,-18.868491461242
11.68,6.49105262178344,-18.6970509962847
11.69,6.33923497240338,-18.5294870695448
11.7,6.19363495271977,-18.3657191455655
11.71,6.05392692918103,-18.2056646912336
11.72,5.91980535262349,-18.0492398160901
11.73,5.79098337557832,-17.8963598184106
11.74,5.66719157059474,-17.7469396495431
11.75,5.54817674230222,-17.6008943073607
11.76,5.43370082636614,-17.4581391682658
11.77,5.32353986891998,-17.3185902659555
11.78,5.21748308047919,-17.1821645240815
11.79,5.11533195875238,-17.0487799490155
11.8,5.01689947515693,-16.9183557881182
11.81,4.92200932022009,-16.7908126582109
11.82,4.83049520340125,-16.6660726483372
11.83,4.74220020320301,-16.5440594003714
11.84,4.65697616375142,-16.4246981705689
11.85,4.57468313431652,-16.3079158747518
11.86,4.49518884851654,-16.1936411194706
11.87,4.41836824020021,-16.0818042211832
11.88,4.34410299323651,-15.9723372152203
11.89,4.27228112265624,-15.8651738560811
11.9,4.20279658479099,-15.7602496103967
