"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
10.91,55.4144633645634,14.4357127790332
10.92,56.4214935301911,11.969245218921
10.93,57.1516314475689,9.32815281568407
10.94,57.5683983337708,6.55580303930293
10.95,57.6447109239254,3.70470120315713
10.96,57.3655541786268,0.833818238541629
10.97,56.7296942563862,-1.99496539517741
10.98,55.7501159849106,-4.72088183256371
10.99,54.453079323008,-7.28823303588039
11,52.8759334980661,-9.64975550758765
11.01,51.0640381498622,-11.7689858140637
11.02,49.0672623776013,-13.6214213089008
11.03,46.9365421349631,-15.1944913555826
11.04,44.7208883327187,-16.4865368930775
11.05,42.4650925345196,-17.5051042352436
11.06,40.2082210990783,-18.2648856320169
11.07,37.9828587633821,-18.7856009151144
11.08,35.8149776815686,-19.090039215208
11.09,33.7242694357388,-19.2023943283004
11.1,31.7247760563119,-19.1469511602337
11.11,29.8256779910378,-18.9471235804637
11.12,28.0321294956361,-18.6248079136917
11.13,26.3460657380596,-18.1999983220908
11.14,24.76693552141,-17.6906056183643
11.15,23.2923366099947,-17.1124246648569
11.16,21.918546960885,-16.4792034289756
11.17,20.6409556167071,-15.8027761510014
11.18,19.4544029232239,-15.0932322049505
11.19,18.3534424179214,-14.3591002029629
11.2,17.3325373120121,-13.6075333774932
